drug_id lig_id
DB08916 4g5jA
DB08916 4g5jA
DB08916 4g5jA
DB08910 4tz4B
DB00933 3tbgA
DB00933 3tbgA
DB06262 6pahA
DB00834 3h52B
DB00834 2w8yA
DB01132 2xkwA
DB00232 1zgfA
DB00149 1abwA
DB00149 1abwA
DB01157 1s3vA
DB01436 1j78B
DB01436 1ie9A
DB01151 2q72A
DB01151 2q72A
DB00140 1nb9A
DB00140 1hzeA
DB00884 4nkeA
DB00143 1eemA
DB00143 4ec0B
DB00143 2ht9B
DB00143 3gurD
DB00143 1yzxB
DB00143 1fw1A
DB00143 2hgsA
DB00143 1b4qA
DB00143 3dk4A
DB00143 3bhjA
DB00143 3dk4A
DB00143 2uuhA
DB00143 2vcrH
DB00143 3fr9A
DB00143 3csiB
DB00143 2vczC
DB00143 3ob7D
DB00143 1hnlA
DB00143 1qh5A
DB00143 3qagA
DB01656 3g4lD
DB00317 2itzA
DB00147 3fhxB
DB00586 3cfqA
DB08906 3cldA
DB00806 3tvxB
DB08901 4u0iA
DB08901 4tyjA
DB08901 4qrcA
DB04711 2bxnA
DB00398 1uwjA
DB00398 4asdA
DB00417 2z71B
DB00412 1zgyA
DB00240 2vdyA
DB00240 1m2zA
DB00710 2f94A
DB00558 2f0zA
DB00558 1a4gB
DB00553 1z11A
