DB00360 4d1pB.LG2.pdb
DB00360 1mmkA.LG0.pdb
DB00360 4d1pB.LG0.pdb
DB00367 2ambA.LG0.pdb
DB00367 2b1zB.LG1.pdb
DB00367 1e3kA.LG0.pdb
DB00368 4pahA.LG0.pdb
DB00373 3d4sA.LG0.pdb
DB00378 1a28A.LG0.pdb
DB00381 3ua5A.LG1.pdb
DB00381 3ua5A.LG2.pdb
DB00396 1w0fA.LG0.pdb
DB00396 1a28A.LG0.pdb
DB00396 4nkxC.LG1.pdb
DB00396 2aa6A.LG0.pdb
DB00398 1uwjA.LG0.pdb
DB00398 4asdA.LG0.pdb
DB00399 4p0vA.LG0.pdb
DB00412 1fm6B.LG1.pdb
DB00417 2z71B.LG0.pdb
DB00421 2ab2A.LG0.pdb
DB00428 2w4xA.LG1.pdb
DB00440 2w3aA.LG1.pdb
DB00441 2no0A.LG1.pdb
DB00443 4p6xI.LG2.pdb
DB00446 2xatA.LG0.pdb
DB00446 4claA.LG0.pdb
DB00446 2jknF.LG0.pdb
DB00446 1qhsA.LG1.pdb
DB00446 1qhsA.LG0.pdb
DB00451 2pivA.LG1.pdb
DB00451 1hk4A.LG7.pdb
DB00451 2ceoB.LG0.pdb
DB00451 2h79A.LG0.pdb
DB00451 3ozkA.LG0.pdb
DB00456 1kvlA.LG1.pdb
DB00458 2q72A.LG6.pdb
DB00458 2q72A.LG7.pdb
DB00468 4wnvA.LG1.pdb
DB00471 2nniA.LG1.pdb
DB00477 3apxA.LG0.pdb
DB00480 4tz4B.LG0.pdb
DB00481 2qxsA.LG0.pdb
DB00495 3b9lA.LG7.pdb
DB00495 3b9lA.LG8.pdb
DB00499 4oghA.LG0.pdb
DB00509 2pivA.LG1.pdb
DB00509 2h79A.LG0.pdb
DB00513 1pk2A.LG0.pdb
DB00513 1ceaA.LG0.pdb
DB00513 2pk4A.LG0.pdb
DB00523 4i9rA.LG0.pdb
DB00523 2lbdA.LG0.pdb
DB00523 4exzA.LG0.pdb
DB00523 4nqaG.LG1.pdb
DB00530 1m17A.LG0.pdb
DB00539 1ya4B.LG1.pdb
DB00539 3ertA.LG0.pdb
DB00539 1ya4B.LG2.pdb
DB00544 3nbqB.LG0.pdb
DB00547 1m2zA.LG3.pdb
DB00553 1z11A.LG1.pdb
DB00558 1a4gB.LG1.pdb
DB00558 2f0zA.LG0.pdb
DB00563 2w3mA.LG1.pdb
DB00563 4lrhD.LG0.pdb
DB00583 1s5oA.LG0.pdb
DB00586 3cfqA.LG0.pdb
DB00594 1f5lA.LG0.pdb
DB00605 4jq2A.LG0.pdb
DB00605 3rx3A.LG1.pdb
DB00605 4iklA.LG0.pdb
DB00613 2aouA.LG0.pdb
DB00613 2aouA.LG1.pdb
DB00619 2hyyB.LG0.pdb
DB00619 4bkjB.LG0.pdb
DB00619 1t46A.LG0.pdb
DB00619 2pl0A.LG0.pdb
DB00620 4p6xI.LG2.pdb
DB00620 2vdyA.LG0.pdb
DB00623 3ko0H.LG3.pdb
DB00623 1wrlE.LG3.pdb
DB00623 3ko0H.LG1.pdb
DB00623 1ctrA.LG0.pdb
DB00623 3ko0H.LG2.pdb
DB00623 3ko0H.LG0.pdb
DB00623 1wrlE.LG1.pdb
DB00623 1wrlE.LG2.pdb
DB00623 1wrlE.LG0.pdb
DB00624 1lhnA.LG0.pdb
DB00624 4pm1A.LG0.pdb
DB00624 3hlvB.LG1.pdb
DB00624 3ollA.LG1.pdb
DB00624 1e3kA.LG0.pdb
DB00624 3s7sA.LG1.pdb
DB00624 2am9A.LG0.pdb
DB00624 1equA.LG1.pdb
DB00630 2f92A.LG0.pdb
DB00631 2zi9A.LG1.pdb
DB00635 4p6xI.LG2.pdb
DB00635 2vdyA.LG0.pdb
DB00640 1bx4A.LG0.pdb
DB00640 1bx4A.LG1.pdb
DB00640 3iarA.LG0.pdb
DB00640 2ydoA.LG0.pdb
DB00642 1jujB.LG1.pdb
DB00642 4m6lA.LG0.pdb
DB00655 4pm1A.LG0.pdb
DB00655 2q7jA.LG1.pdb
DB00655 1iolA.LG0.pdb
