ID #HeavyAtom
02231214452D 29
02231214452D 14
02231214452D 11
02231214452D 26
02231214452D 4
02231214452D 24
02231214452D 36
02231214452D 29
02231214452D 20
02231214452D 60
02231214452D 31
02231214452D 22
02231214452D 9
02231214452D 13
02231214452D 25
02231214462D 27
02231214462D 13
02231214462D 41
02231214462D 11
02231214462D 5
02231214462D 19
02231214462D 16
04191212132D 23
02231214462D 16
03191312282D 11
02231214462D 26
02231214462D 23
02231214462D 39
02231214462D 42
02231214462D 28
02231214462D 26
02231214462D 33
02231214462D 18
02231214462D 87
02231214462D 10
02231214462D 24
02231214462D 28
04191212132D 101
02231214472D 59
02231214472D 19
04191212132D 21
02231214472D 18
02231214472D 14
02231214472D 17
02231214472D 23
02231214472D 26
02231214472D 20
02231214472D 23
02231214472D 25
02231214472D 11
04191212132D 27
02231214472D 21
02231214472D 19
02231214472D 29
06161316122D 34
02231214472D 25
02231214472D 33
02231214472D 32
02231214482D 6
02231214482D 10
02231214482D 15
02231214482D 33
02231214482D 33
02231214482D 29
02231214482D 24
02231214482D 16
02231214482D 15
02231214482D 24
02231214482D 123
08191312102D 28
04191212132D 32
04191212132D 25
02231214482D 24
02231214482D 29
02231214482D 22
02231214482D 11
02231214482D 12
02231214482D 24
02231214482D 23
02231214482D 25
02231214492D 16
02231214492D 61
04191212132D 37
02231214492D 11
04191212132D 32
02231214492D 37
02231214492D 28
02231214492D 22
02231214492D 35
02231214492D 30
02231214492D 21
02231214492D 21
02231214492D 100
02231214492D 9
02231214492D 22
02231214492D 14
02231214502D 14
02231214502D 20
02231214502D 23
04191212132D 15
02231214502D 14
02231214502D 26
02231214502D 16
02231214502D 34
02231214502D 419
02231214512D 25
02231214512D 19
04191212132D 30
02231214512D 31
02231214512D 22
02231214512D 85
02231214512D 21
02231214512D 65
01151409102D 25
02231214522D 18
02231214522D 16
08201312572D 34
02231214522D 18
02231214522D 21
02231214522D 6
04191212142D 31
02231214522D 20
02231214522D 26
02231214522D 12
02231214522D 9
02231214522D 11
02231214522D 16
02231214522D 33
02231214522D 28
09201117172D 35
02231214542D 19
02231214542D 22
02231214542D 96
02231214552D 18
02231214552D 13
02231214552D 20
02231214552D 26
04191212142D 30
02231214552D 17
04191212142D 37
02231214552D 21
02231214552D 28
02231214552D 16
02231214552D 11
02231214552D 30
02231214552D 25
02231214552D 30
02231214552D 65
12221315162D 23
02231214552D 23
02231214552D 32
02231214552D 30
02231214552D 35
02231214552D 27
02231214562D 31
02231214562D 28
02231214562D 27
02231214562D 36
02231214562D 21
02231214562D 25
02231214562D 38
02231214562D 21
02231214562D 43
02231214562D 16
02231214562D 17
02231214562D 31
04191212142D 30
02231214562D 35
02231214562D 14
02231214562D 25
02231214562D 32
02231214562D 28
04191212142D 124
02231214562D 27
02231214572D 15
02231214572D 19
02231214572D 14
02231214572D 18
02231214572D 28
02231214572D 20
02231214572D 24
02231214572D 27
02231214572D 22
02231214572D 34
02231214572D 22
02231214572D 11
02231214572D 17
02231214572D 29
02231214572D 15
02231214572D 18
04191212142D 22
02231214572D 22
02231214572D 15
02231214572D 38
02231214572D 27
02231214572D 14
02231214572D 23
02231214582D 67
04191212142D 10
02231214582D 30
02231214582D 22
11061417442D 24
02231214582D 28
02231214582D 25
02231214582D 27
02231214582D 15
02231214582D 26
04191212142D 12
02231214582D 63
02231214582D 16
02231214582D 19
02231214582D 39
04191212142D 22
02231214582D 20
02231214582D 21
02231214582D 16
02231214582D 19
02231214582D 10
02231214582D 10
02231214582D 15
02231214592D 22
02231214592D 21
02231214592D 24
05291309392D 21
02231214592D 32
02231214592D 26
02231214592D 2
02231214592D 43
02231214592D 7
04191212142D 28
02231214592D 14
02231214592D 14
02231214592D 25
04191212142D 34
02231214592D 25
04191212142D 26
02231214592D 19
02231214592D 42
02231214592D 20
02231214592D 30
02231214592D 19
02231215002D 24
04191212142D 58
02231215002D 17
02231215002D 10
02231215002D 85
02231215002D 27
02231215002D 20
02231215002D 18
02231215002D 23
02231215002D 16
04191212142D 17
02231215002D 54
02231215002D 26
02231215002D 15
02231215002D 19
02231215002D 14
02231215002D 16
02231215002D 28
02231215002D 33
02231215002D 12
02231215002D 33
02231215012D 25
02231215012D 21
02231215012D 24
02231215012D 30
02231215012D 81
02231215012D 22
02231215012D 22
02231215012D 20
02231215012D 21
02231215012D 24
02231215012D 21
02231215012D 23
02231215012D 17
02231215012D 23
02231215012D 25
02231215012D 23
02231215012D 18
02231215012D 15
02231215012D 22
02231215012D 13
02231215012D 13
02231215012D 29
02231215022D 19
02231215022D 16
02231215022D 28
02231215022D 14
02231215022D 11
